,English,Turkish
0,write down,not almak
1,daily routine,günlük yapılanlar
2,leisure time,boş zaman
3,remember,hatırlamak
4,then,sonra
5,count,"saymak,hesaplamak"
6,word,kelime
7,pair,çift
8,win,kazanmak
9,get up,yataktan kalkmak
10,have breakfast,kahvaltı yapmak
11,play soccer,futbol oynamak
12,below,aşağıda
13,have a snack,atıştırmak
14,have a rest,dinlenmek
15,do homework,ödev yapmak
16,go online,internete girmek
17,Today,bu gün
18,want to,istemek
19,talk,konuşmak
20,after-school,okul sonrası
21,Let’s,hadi
22,with,ile
23,First of all,hepsinden önce
24,get back,geri gelmek
25,around,civarında
26,first,ilk olarak
27,circle,daire içine almak
28,correct,True
29,choice,seçim
30,these,bunlar
31,middle of,ortasında
32,weekend,hafta sonu
33,close,yakın
34,wait,beklemek
35,more,daha
36,weekday,hafta içi
37,interesting,ilginç
38,study,ders çalışmak
39,school subject,okul konuları
40,dinner,akşam yemeği
41,before,önce
42,go to bed,yatmak
43,Great,muhteşem
44,recording,kayıt
45,again,tekrar
46,Read,okumak
47,sentence,cümle
48,Find,bulmak
49,write,yazmak
50,Fill in,doldurmak
51,table,tablo
52,Work,çalışmak
53,Ask,sormak
54,answer,cevaplamak
55,question,soru
56,above,yukarıda
57,Compare,karşılaştırmak
58,report,rapor vermek
59,common,ortak
60,Underline,altını çizmek
61,know,bilmek
62,meaning,anlam
63,always,her zaman
64,traditional,geeleneksel
65,German,Alman
66,lots of,çok
67,fun,eğlence
68,afternoon,öğleden sonra
69,often,sık sık
70,mom,anne
71,usually,genellikle
72,grannies,büyük anne-baba
73,stay,kalmak
74,there,orada
75,overnight,gece boyu
76,hang around,takılmak
77,never,asla
78,go out,dışarı çıkmak
79,early,erken
80,about,hakkında
81,graph,grafik
82,Use,kullanmak
83,different,farklı
84,each,her bir
85,sometimes,ara sıra
86,How often,ne kadar sıklıkta
87,visit,ziyaret etmek
88,relative,akraba
89,tidy your room,oda toplamak
90,meet friends,arkadaşla buluşmak
91,area,alan
92,region,bölge
93,If,eğer
94,announcement,duyuru
95,under,altında
96,would you like,istemek
97,learn,öğrenmek
98,Why,niçin
99,Egypt,Mısır
100,Spain,İspanya
101,join,katılmak
102,teach,öğretmek
103,timetable,zaman tablosu
104,call,telefon etmek
105,I think,bence
106,from ….. until,şu zamandan şu zamana kadar
107,membership,üyelik
108,Conduct,"yürütmek,yönetmek"
109,survey,araştırma
110,classmates,sınıf arkadaşı
111,prepare,hazırlamak
112,Follow,takip etmek
113,step,adım
114,cross,çarpı
115,next to,bitişik
116,find out,ortaya çıkarmak
117,top,en üst
118,suitable,uygun
119,presentation,sunum
120,enroll,kayıt olmak
121,become,olmak
122,member,üyelik
124,Look at,bakmak
125,Unscramble,düzene koymak
126,letter,harf
127,order,sıra
128,feed,beslemek
129,surf on the Net,internette gezinmek
130,until,..e kadar
131,dad,baba
132,Moon,ay
133,teenager,"delikanlı,ergen"
134,some,biraz-birkaç
135,Of course,kesinlikle
136,Interviewer,muhabir
137,chat,çene çalmak
138,join,katılmak
139,You're welcome,bir şey değil
141,mark,işaretlemek
142,food,yiyecek
143,item,madde
144,preference,tercih
145,conversation,konuşma
146,between,arasında
147,love,çok sevmek
148,hate,nefret etmek
149,sausage,sosis
150,cheese,peynir
151,butter,tereyağı
152,honey,bal
153,muffin,"kek,çörek"
154,salami,salam
155,orange juice,portakal suyu
156,jam,reçel
157,cereal,gevrek
158,pancake,krep
159,olives,zeytin
160,blackberry,böğürtlen
161,cucumber,salatalık
162,bagel,simit
163,croissant,krovasan
164,call,çağırmak
165,for,için
166,tomorrow,yarın
167,enough,yeterli
168,serve,servis etmek
169,Let’s,hadi
170,fridge,buzdolabı
171,Is there,var mı?
172,There is,var
173,lots of,çok
174,fruit,meyve
175,blueberries,yaban mersini
176,Great,muhteşem
177,wants to,istemek
178,invite,davet etmek
179,a little,az miktarda
180,all,hepsi
181,speacial,özel
182,Sure,tabii ki
183,Draw,çizmek
184,tell,söylemek
185,dishes,yemek
186,lunch,öğle yemeği
187,Which,hangi
188,website,websitesi
189,World,dünya
190,check,kontrol etmek
191,text,okuma parçası
192,again,tekrar
193,sixth grade,altıncı sınıf
194,quick,çabuk
195,canteen,kantin
196,As you know,bildiğin gibi
197,Japanese,Japon
198,rice,pirinç
199,eat,yemek
200,even,hatta
201,miso soup,miso çorbası
202,kind of,çeşit
203,vegetable,sebze
204,much,çok
205,nutritious,besleyici
206,must,..meli..malı
207,also,aynı zamanda
208,soybean,soya
209,rolled,haddelenmiş
210,grilled,ızgara
211, Actually,aslında
212,seaweed,yosun
213,China,Çin
214,Japan ,Japon
215,search,araştırmak
216,expression,açıklama
217,mean,anlamına gelemek
218,language,dil
219,How,nasıl
220,say,söylemek
221,mother tongue,ana dil
222,similar to,benzer
223, different,farklı
224,Prepare,hazırlamak
225,presentation,sunum
226,about,hakkında
231,French,Fransızca
232,Spanish,ispanyolca
233,German,almanca
234,phrase,kelime grubu
235,place,yer
236,Would you like,ister misiniz?
237,I’m full,tokum
238,It’s my favourite,en sevdiğim
239,it’s all gone,hepsi bitti
240,Excuse me?,afedersiniz
241,Is it a type of chips?,bir çeşit cips mi
242,culture,kültür
243,expression,ifade
244,looks great,muhteşem görünmek
245,both,her ikisi de
246,delicious,lezzetli
247,I’m sorry,üzgünümm
248,You’re welcome,bir şey değil
249,Let me see,görmeme izin ver
250,healthy ,sağlıklı
251,oak meal,sütle servis edilen
252,anything else,başka bir şey
253,junk food,abur cubur
254,label,etiket(lemek)
255,match,karşılaştırmak
256,product,ürün
257,Be careful!,dikkatli ol
258,extra,fazladan
259,Shake well before opening!,açmadan önce çalkala
260,Store in room temperature! ,oda sıcaklığında tutun
261,Made from natural cow’s milk! ,doğal sütten yapılmıştır
262,Keep in the fridge.,buzdolabında tutun
263,Imagine,hayal etmek
264,decide,karar vermek
265,create,oluşturmak
266,imaginary,hayali
267,creature,yaratık
268,Come together,bir araya gelmek
269,large,geniş
270,cardboard,karton
271,piece of,bir parça
272,Shall we,….lım mı
273,bean,fasulye
274,I don’t mind,umursamıyorum
276,puzzle,"yapboz,bulmaca"
277,under,altında
278,missing,eksik
279,tray,tepsi
280,speech bubble,konuşma balonu
281,British,İngiliz
282,fried,kızarmış
283,baked,fırınlanmış
284,ham,jambon
285,bacon,domuz pastırması
286,simple,basit
287,rub,"sürtmek,ovalamak"
288,bread,ekmek
289,garlic,sarımsak
290,sauce,sos
291,then,sonra
292,put,koymak
293,salt,tuz
294,prefer,tercih etmek
295,Russian,Rus
296,oladi,bir çeşit pankek
297,a kind of ,bir çeşit
298,fresh ,taze
299,grapes,üzüm
300,Fill in,doldurmak
301,family members,aile üyeleri
302,information,bilgi
303,Circle,daire içine almak
304,option,seçenek
305,the best,en iyi
306,Score,hesaplamak
307,find out,ortaya çıkarmak
308,a cup of,bir fincan
309,a glass of,bir bardak
310,parsley,maydanoz
311,cookies,kurabiye
312,Congratulations,tebrikler
313,careful,dikkatli
314,unhealthy,sağlıksız
316,following,devamındaki
317,live,yaşamak
318,country,kırsal
319,environment,çevre
320,somewhere ,bir yer
321,called,adında
322,quiet,sessiz
323,lovely,sevimli
324,garden,bahçe
325,Today,bu gün
326,big,büyük
327,visit,ziyaret etmek
328,Everybody,herkes
329, busy,meşgul
330,elder brother,abi
331,feed,beslemek
332,dear,sevgili
333,cry,ağlamak
334,find,bulmak
335,look for,aramak
336,suitcase,valiz
337,still,hala
338,hurry,acele etmek
339,trip,gezi
340,at the moment,şu an
341,get dressed,giyinmek
342,buy,satın almak
343,line,sıra
344,crowded ,kalabalık
345,noisy,gürültü
346,complete ,tamamlamak
347,Downtown,şehir merkezi
348,watch around,etrafı seyretmek
349,traffic light,trafik ışığı
350,police officer,polis memuru
351,try ,denemek
352,clean,temiz
353,playground,oyun alanı
354,slide,kaymak
355,shopping centre ,alışveriş merkezi
356,theatre,tiyatro
357,ticket,bilet
358,Poor,zavallı
359,terrible,berbat
360,traffic jam,trafik sıkışıklığı
361,cross,karşıya geçmek
362,direct,yönetmek
363,Why,niçin
364,exciting,heyecan verici
365,boring,sıkıcı
366,life,hayat
367,funny,eğlenceli
368,easy,kolay
369,relaxing,rahatlatıcı
370,dirty,kirli
371,cleaner,daha temiz
372,would like,istemek
373,grow up,büyümek
374,I think,sanırım
375,really,gerçekten
376,hard,"sıkı,çok"
377,headache,başağrısı
378,event,olay
379, Calm down,sakinleşmek
380,skyscraper,gökdelen
381,adventure movie,macera filmi
382,soap opera ,pembe dizi
383,tall,uzun
384,key word,anahtar kelime
385,street,"sokak,cadde"
386,sentence,cümle
387,neighbourhood ,"semt,çevre"
388,describe,tarif etmek
389,profession,meslek
390,as well,"bile,dahi"
391,Go out,dışarı çıkmak
392,Observe,gözlemlemek
393,carefully,dikkatlice
394,use a computer,bilgisayar kullanmak
395,scarf,"eşarp,atkı"
396,buy,satın almak
397,same,aynı
398,fat,şişman
399,old,"eski,yaşlı"
400,short,kısa
401,thin,zayıf
402,young,genç
403,fair,"sarışın,kumral"
404,dark,esmer
405,of medium height,orta boylu
406,medium weight,orta kilolu
407,slow,yavaş
408,warm,ılık
409,large,geniş
410,high,yüksek
411,Mediterranean Region,Akdeniz Bölgesi
412,salty,tuzlu
413,Aegean Sea,Ege Denizi
414,humid,nemli
415,lake,göl
416,mountain,dağ
417,cold,soğuk
418,popular,ünlü
419,Central Anatolia Region ,İç Anadolu Bölgesi
420,Black Sea Region,Karadeniz Bölgesi
421,river,nehir
422,hometown,memleket
423,Location,konum
424,Area ,bölge
425,Population,nüfus
426,Average ,ortalama
427,temperature,sıcaklık
428,pretty,hoş
429,in the middle of,ortasında
430,cover,kaplamak
431,Look outside,dışarı bakmak
432,sunshine,günışığı
433,sweater,süeter
434,if,eğer
435,kite,uçurtma
436,raincoat,yağmurluk
437,wet,ıslak
438,mitten,parmaksız eldiven
439,sing along,beraber söylemek
440,I don't understand,anlamadım
441,"Can you repeat, please?",tekrarlar mısınız
442,Of course,kesinlikle
443,quite,oldukça
444,weather condition,hava durumu
445,each,her bir
446,moody,karamsar
447,sleepy,uykulu
448,upset,üzgün
449,anxious,endişeli
450,scared,korkmuş
451,Me too,ben de
452,nice,hoş
453,survey,araştırma
454,result,sonuç
455,feel,hissetmek
456,alone,yalnız
457,kid,çocuk
458,dark,karanlık
459,rain,(yağmur)yağmak
460,heavily,ağır bir şekilde
461,blow,esmek
462,lightning,şimşek
463,go to sleep,uyumak
464,Alright,her şey yolunda
465,relax,rahatlamak
466,sing,ötmek(kuş)
467,Well done!,aferin
468,affect,etkilemek
469,act it out,canlandırmak
470,describe,tarif etmek
471,ask,sormak
472, Note down,not almak
473,comfortable,konforlu
474,description,tarif
475,map ,harita
476,Choose,seçmek
477,suitable,uygun
478,feeling,"his,duygu"
479,repetition,tekrar
480,catch a cold,soğuk algınlığı
481,Weather,hava
482,Emotion,duygu
483,weather forecast,hava durumu
484,hot,sıcak
485,snowy,karlı
486,sunny,güneşli
487,rainy,yağmurlu
488,cloudy,bulutlu
489,windy,rüzgarlı
490,stormy,fırtınalı
491,freezing,dondurucu
492,viewer,seyirci
493,foggy,sisli
494,temperature,sıcaklık
495,warm,ılık
496,around,etrafında
497,falls down,aşağı düşmek
498,Fair,fuar
499,fun rides,lunapark oyuncakları
500,Bang into,"toslamak,çarpmak"
501,turn,dönüş
502,high speed,yüksek hız
503,Up,yukarı
504,down,aşağı
505,upside down,başaşağı
506,hold your breath,nefes tutmak
507,tap,dokunmak
508,shoulder,omuz
509,air,hava
510,turn around,etrafında dönmek
511,need,ihtiyaç duymak
512,Get on,binmek
513,Gallop,dıgıdık dıgıdık
514,roller coaster,hız treni
515,big wheel,dönme dolap
516,wave swinger,büyük salıncak
517,bumper cars,çarpışan araba
518,ghost train,hayalet treni
519,carrousel,atlı karınca
520,exciting,heyecan verici
521,swing,sallanmak
522,When,ne zaman
523,Where,nerede
524,How much,kaç para
525,visit,ziyaret etmek
526,Fun Fair,Eğlence Fuarı
527,Token,jeton
528,right,True
529,outside,dışarısı
530,umbrella,şemsiye
531,snowman,kardan adam
532,wear,giymek
533,sunglasses,gözlük
534,season,mevsim
535,letter,harf
536,Put,koymak
537,order,"sıra,düzen"
538,guess,tahmin etmek
539,looks happy,mutlu görünmek
540,tired,yorgun
541,fine,hoş
542,dull,"sıkıcı,renksiz"
543,energetic,enerjik
544,hang around,takılmak
545,I'm not sure,emin değilim
546,noise,gürültü
547,opinion,fikir
548,boring,sıkıcı
549,bring,getirmek
550,close,yakın
551,adjective,sıfat
552,Find,bulmak
553,thrilling,heyecan verici
554,bump into ,toslamak
555,date,tarih
556,attraction,cazibe
557,price,fiyat
558,event,olay
559,town,kasaba
560,fair ground,panayır
561,sell,satmak
562,dessert,tatlı
563,Famous,ünlü
564,band,müzik grubu
565,concert,konser
566,everywhere,her yer
567,expensive,pahalı
568,at all,hiçbir şekilde
569,enjoy,eğlenmek
570,questionnaire,anket
571,count,saymak
572,fearless,korkusuz
573,fearful,korkak
574,strange,değişik
575,hide,saklamak
576,bed cover,yatak örtüsü
577,I don't mind,umursamıyorum
578,nervous,gergin
579,because,çünkü
580,amazing,şaşırtıcı
581,terrifying,korkunç
582,crazy,çılgın
583,offer,teklif etmek
584,scouts camp,izci kampı
585,wood,orman
586,frightening,korkutucu
587,interesting,ilgi çekici
588,amazed,şaşırmış
589,frightened,korkmuş
590,thrilled,heyecanlanmış
591,agree with,aynı fikirde olmak
592,ground,zemin
593,disagree with,farklı fikirde olmak
594,bored,canı sıkılmış
595,Sorry,üzgün
596,reason,sebep
597,idea,fikir
598,brief,özet
599,discuss,tartışmak
600,dislike,sevmemek
601,creature,yaratık
602,tunnel,tünel
603,Skeleton,iskelet
604,monster,canavar
605,vampire,vampir
606,real,gerçek
607,What does “…” mean?,ne anlama gelir
608,sign,işaret
609,dangerous,tehlikeli
610,warning,uyarı
611,Fasten,bağlamak
612,seat belt,emniyet kemeri
613,Insert,içine atmak
614,Pet,evcil hayvan
615,allowed,izinli
616,Pay,ödemek
617,Danger,tehlikeli
618,Point,işaret etmek
619,in turns,sırayla
620,everyday life,günlük yaşam
621,take photo,foto çekmek
622,Pay attention,dikkat etmek
623,facial expressions,yüz ifadesi
624,Cut out,kesip çıkarmak
625,Stick,yapıştırmak
626,advertisement,reklam
